rt;key_press;correct;coherent_movement_direction;coherent_orientation;task_type;task_transition;congruency
-1;;FALSE;180;180;or;null;congruent
857;f;TRUE;180;0;mov;switch;incongruent
-1;;FALSE;0;0;or;switch;congruent
1730;f;FALSE;180;0;or;repetition;incongruent
1658;j;TRUE;0;0;mov;switch;congruent
1743;j;TRUE;0;0;or;switch;congruent
901;f;FALSE;180;0;or;repetition;incongruent
1565;j;TRUE;0;180;mov;switch;incongruent
-1;;FALSE;180;0;mov;repetition;incongruent
832;j;TRUE;0;180;mov;repetition;incongruent
1041;j;FALSE;0;180;or;switch;incongruent
806;f;TRUE;180;180;mov;switch;congruent
755;f;TRUE;180;180;or;switch;congruent
788;j;TRUE;0;0;mov;switch;congruent
883;f;FALSE;180;0;or;switch;incongruent
839;f;TRUE;180;180;mov;switch;congruent
1074;j;TRUE;0;0;or;switch;congruent
1455;f;TRUE;180;180;or;repetition;congruent
995;j;TRUE;0;0;mov;switch;congruent
723;f;TRUE;180;0;mov;repetition;incongruent
851;f;TRUE;180;180;or;switch;congruent
916;f;TRUE;180;0;mov;switch;incongruent
938;f;TRUE;180;180;or;switch;congruent
1894;f;TRUE;0;180;or;repetition;incongruent
1022;f;TRUE;0;180;or;repetition;incongruent
701;j;TRUE;0;180;mov;switch;incongruent
824;f;TRUE;180;180;or;switch;congruent
1344;j;FALSE;0;180;or;repetition;incongruent
1262;j;FALSE;0;180;or;repetition;incongruent
1060;f;FALSE;0;0;or;repetition;congruent
1500;j;TRUE;0;0;or;repetition;congruent
495;j;TRUE;0;0;mov;switch;congruent
513;f;TRUE;180;0;mov;repetition;incongruent
535;f;TRUE;180;180;mov;repetition;congruent
692;j;TRUE;0;180;mov;repetition;incongruent
505;f;TRUE;180;0;mov;repetition;incongruent
1017;f;TRUE;180;0;mov;repetition;incongruent
674;j;TRUE;0;180;mov;repetition;incongruent
595;f;TRUE;180;180;mov;repetition;congruent
690;f;TRUE;180;180;mov;repetition;congruent
598;j;TRUE;0;180;mov;repetition;incongruent
862;j;TRUE;0;0;mov;repetition;congruent
749;j;TRUE;0;180;mov;repetition;incongruent
1353;f;FALSE;0;0;or;switch;congruent
996;j;FALSE;0;180;or;repetition;incongruent
1072;f;TRUE;0;180;or;repetition;incongruent
1107;j;FALSE;180;0;mov;switch;incongruent
1051;j;TRUE;180;0;or;switch;incongruent
1100;j;FALSE;180;180;or;repetition;congruent
682;j;TRUE;0;0;mov;switch;congruent
607;j;TRUE;0;0;mov;repetition;congruent
1112;j;TRUE;0;0;or;switch;congruent
1080;j;FALSE;0;180;or;repetition;incongruent
1205;j;TRUE;0;0;mov;switch;congruent
1137;f;FALSE;0;0;or;switch;congruent
1137;f;TRUE;180;180;mov;switch;congruent
607;j;TRUE;0;180;mov;repetition;incongruent
837;j;TRUE;180;0;or;switch;incongruent
904;j;TRUE;0;0;mov;switch;congruent
1355;f;TRUE;0;180;or;switch;incongruent
971;f;TRUE;180;0;mov;switch;incongruent
1303;j;FALSE;180;180;or;switch;congruent
1285;j;FALSE;180;180;or;repetition;congruent
1196;j;TRUE;180;0;or;repetition;incongruent
1107;j;TRUE;180;0;or;repetition;incongruent
1106;f;TRUE;0;180;or;repetition;incongruent
976;j;TRUE;0;180;mov;switch;incongruent
1951;f;FALSE;0;0;or;switch;congruent
1803;j;TRUE;180;0;or;repetition;incongruent
1467;j;FALSE;180;0;mov;switch;incongruent
667;f;TRUE;180;0;mov;repetition;incongruent
509;j;TRUE;0;180;mov;repetition;incongruent
710;j;TRUE;0;0;mov;repetition;congruent
1411;j;FALSE;0;180;or;switch;incongruent
803;f;TRUE;180;0;mov;switch;incongruent
1232;f;TRUE;180;180;mov;repetition;congruent
1551;j;FALSE;180;180;mov;repetition;congruent
1174;j;TRUE;180;0;or;switch;incongruent
1092;j;TRUE;0;0;mov;switch;congruent
1832;j;TRUE;0;0;or;switch;congruent
1084;j;TRUE;180;0;or;repetition;incongruent
815;j;TRUE;0;180;mov;switch;incongruent
1469;f;FALSE;0;0;or;switch;congruent
895;j;TRUE;0;180;mov;switch;incongruent
1175;f;TRUE;0;180;or;switch;incongruent
1216;j;TRUE;180;0;or;repetition;incongruent
1222;f;TRUE;180;180;or;repetition;congruent
1024;j;TRUE;0;0;or;repetition;congruent
1209;j;TRUE;180;0;or;repetition;incongruent
1175;j;FALSE;180;180;or;repetition;congruent
689;f;TRUE;180;180;mov;switch;congruent
584;j;FALSE;180;180;or;switch;congruent
588;f;TRUE;180;180;mov;switch;congruent
1438;f;TRUE;180;180;mov;repetition;congruent
598;j;TRUE;0;0;mov;repetition;congruent
582;f;TRUE;180;180;mov;repetition;congruent959
757;f;TRUE;180;180;or;repetition;congruent
1203;j;TRUE;0;0;or;repetition;congruent
685;f;TRUE;180;180;mov;switch;congruent
1103;j;TRUE;0;0;or;switch;congruent
936;j;TRUE;0;0;mov;switch;congruent
1457;j;FALSE;180;0;mov;repetition;incongruent
1256;j;TRUE;180;0;or;switch;incongruent
772;f;FALSE;180;0;or;repetition;incongruent
644;j;FALSE;0;180;or;repetition;incongruent
1375;j;FALSE;180;180;mov;switch;congruent
841;j;TRUE;0;0;or;switch;congruent
1332;f;FALSE;0;180;mov;switch;incongruent
1094;j;FALSE;0;180;or;switch;incongruent
1956;j;FALSE;180;0;mov;switch;incongruent
1206;f;TRUE;180;180;or;switch;congruent
579;j;FALSE;0;180;or;repetition;incongruent
518;f;FALSE;180;0;or;repetition;incongruent
1549;j;FALSE;180;0;mov;switch;incongruent
1152;j;FALSE;0;180;or;switch;incongruent
555;f;TRUE;180;0;mov;switch;incongruent
549;f;FALSE;180;0;or;switch;incongruent
703;j;TRUE;0;0;or;repetition;congruent
716;j;FALSE;0;180;or;repetition;incongruent
604;f;FALSE;180;0;or;repetition;incongruent
533;f;FALSE;180;0;or;repetition;incongruent
1059;j;TRUE;0;0;mov;switch;congruent
776;f;FALSE;180;0;or;switch;incongruent
759;f;FALSE;180;0;or;repetition;incongruent
566;f;TRUE;180;180;or;repetition;congruent
1065;f;TRUE;180;180;mov;switch;congruent
1152;f;TRUE;180;180;or;switch;congruent
1480;j;TRUE;0;180;mov;switch;incongruent
1657;f;FALSE;0;180;mov;repetition;incongruent
1411;f;FALSE;0;0;mov;repetition;congruent
1212;f;FALSE;0;180;mov;repetition;incongruent
1052;f;FALSE;0;180;mov;repetition;incongruent
629;f;TRUE;0;180;or;switch;incongruent
-1;;FALSE;0;0;mov;switch;congruent
970;j;FALSE;0;180;or;switch;incongruent
1202;f;TRUE;180;180;mov;switch;congruent
1196;f;FALSE;0;180;mov;repetition;incongruent
690;j;FALSE;0;180;or;switch;incongruent
857;f;TRUE;180;180;or;repetition;congruent
1295;j;TRUE;0;0;mov;switch;congruent
995;j;FALSE;0;180;or;switch;incongruent
1154;f;FALSE;0;180;mov;switch;incongruent
1453;f;TRUE;180;180;mov;repetition;congruent
1179;f;TRUE;180;180;mov;repetition;congruent
1006;j;FALSE;180;0;mov;repetition;incongruent
1057;f;TRUE;180;180;mov;repetition;congruent
914;j;TRUE;0;0;or;switch;congruent
512;f;TRUE;180;180;or;repetition;congruent
816;j;TRUE;0;0;or;repetition;congruent
1043;j;FALSE;180;0;mov;switch;incongruent
1693;f;FALSE;0;180;mov;repetition;incongruent
1105;j;TRUE;0;0;mov;repetition;congruent
458;f;TRUE;180;180;or;switch;congruent
475;f;TRUE;180;180;or;repetition;congruent
1024;f;FALSE;0;180;mov;switch;incongruent
1529;f;TRUE;180;180;mov;repetition;congruent
1186;f;TRUE;180;180;mov;repetition;congruent
558;j;TRUE;0;0;or;switch;congruent
393;f;FALSE;180;0;or;repetition;incongruent
465;j;TRUE;0;0;or;repetition;congruent
577;f;TRUE;180;180;or;repetition;congruent
1318;j;FALSE;180;0;mov;switch;incongruent
607;j;TRUE;0;0;or;switch;congruent
500;j;TRUE;0;0;or;repetition;congruent
501;f;TRUE;180;180;or;repetition;congruent
1057;f;FALSE;0;180;mov;switch;incongruent
1440;f;FALSE;0;0;mov;repetition;congruent
960;j;FALSE;0;180;or;switch;incongruent
1018;j;FALSE;180;0;mov;switch;incongruent
1321;j;TRUE;0;0;or;switch;congruent
502;j;TRUE;0;0;or;repetition;congruent
1513;f;FALSE;0;180;mov;switch;incongruent
447;f;FALSE;180;0;or;switch;incongruent
-1;;FALSE;0;0;mov;switch;congruent
1257;j;FALSE;180;0;mov;repetition;incongruent
475;j;FALSE;0;180;or;switch;incongruent
460;f;TRUE;180;0;mov;switch;incongruent
869;j;TRUE;0;0;mov;repetition;congruent
1026;j;TRUE;0;180;mov;repetition;incongruent
1107;j;FALSE;180;0;mov;repetition;incongruent
890;j;TRUE;0;0;mov;repetition;congruent
399;f;FALSE;180;0;or;switch;incongruent
745;j;FALSE;180;0;mov;switch;incongruent
1235;j;TRUE;0;0;mov;repetition;congruent
1041;f;TRUE;180;180;mov;repetition;congruent
562;f;FALSE;180;0;or;switch;incongruent
407;f;TRUE;180;180;or;repetition;congruent
644;j;FALSE;0;180;or;repetition;incongruent
1130;f;FALSE;0;0;mov;switch;congruent
781;f;TRUE;180;180;mov;repetition;congruent
847;f;TRUE;180;180;mov;repetition;congruent1240
821;j;TRUE;0;180;mov;switch;incongruent
1758;f;TRUE;180;180;or;switch;congruent
1348;j;TRUE;0;0;or;repetition;congruent
1994;j;TRUE;180;0;or;repetition;incongruent
852;j;TRUE;180;0;or;repetition;incongruent
1960;f;TRUE;0;180;or;repetition;incongruent
984;f;TRUE;180;180;mov;switch;congruent
796;f;TRUE;180;180;mov;repetition;congruent
937;f;TRUE;180;0;mov;repetition;incongruent
814;j;TRUE;0;180;mov;repetition;incongruent
-1;;FALSE;0;0;or;switch;congruent
557;j;TRUE;0;0;mov;switch;congruent
950;j;TRUE;0;180;mov;repetition;incongruent
1732;j;TRUE;180;0;or;switch;incongruent
744;j;FALSE;0;180;or;repetition;incongruent
1961;f;FALSE;0;0;mov;switch;congruent
1219;f;TRUE;0;180;or;switch;incongruent
764;f;TRUE;180;180;mov;switch;congruent
817;f;TRUE;180;180;or;switch;congruent
784;f;TRUE;180;180;mov;switch;congruent
1136;f;TRUE;180;180;mov;repetition;congruent
1288;j;FALSE;180;180;or;switch;congruent
763;j;TRUE;0;0;mov;switch;congruent
610;j;TRUE;0;0;mov;repetition;congruent
776;f;TRUE;180;180;mov;repetition;congruent
928;j;TRUE;180;0;or;switch;incongruent
